Change Component DesignItemId : Designator=R4 Old DesignItemId=RSI-0R000-F New DesignItemId=RSH-0R000-F
Change Component Footprint: Designator=R4 Old Footprint=RESC2012X13N_0805 New Footprint=RESC1608X06N_0603
Change Component Description : Designator=R4 Old Description=RES 0.0 OHM 1/8W 0805 SMD New Description=RES 0.0 OHM 1/10W 0603 SMD
Change component parameters: Designator = "R4" ("R4"); Footprint = "RESC2012X13N_0805"; UniqueID = "\RFMFQZGL" ("\RFMFQZGL")
Change component parameters (AddParameter): Name = "BWA PN"; Value = "RSH-0R000-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Display_Name"; Value = "0R,5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "0R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schematic Symbol"; Value = "RESISTOR_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "311-0.0GRCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Chip"; VariantName = "[No Variations]"
