Change Component DesignItemId : Designator=C22 Old DesignItemId=CCK-106DH-G-A New DesignItemId=CCI-106CD-G
Change Component Footprint: Designator=C22 Old Footprint=CAPC3216X140N_1206 New Footprint=CAPC2012X12N_0805
Change Component Comment : Designator=C22 Old Comment=10uF,50V New Comment=10uF, 10V
Change Component Description : Designator=C22 Old Description=AUTOMOTIVE CAP CER 10UF 50V 10% X5R 1206 New Description=CAP CER 10UF 10V X7R 0805
Change component parameters: Designator = "C22" ("C22"); Footprint = "CAPC3216X140N_1206"; UniqueID = "\VQLQGUOX" ("\VQLQGUOX")
Change component parameters (AddParameter): Name = "BWA PN"; Value = "CCI-106CD-G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Display_Name"; Value = "10uF, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK Corporation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C2012X7R1A106K125AC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schematic Symbol"; Value = "CAP-NP_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-6857-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "2346934"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
